"","P1","P10","P2","P3","P4","P5","P6","P7","P8","P9"
"ENSMUSG00000086929",0,1,5,0,0,0,1,1,0,1
"ENSMUSG00000086930",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000086931",0,0,0,0,1,0,0,0,0,0
"ENSMUSG00000086932",0,1,0,2,1,1,1,0,0,2
"ENSMUSG00000086933",1,0,0,0,0,2,0,0,0,0
"ENSMUSG00000086935",0,1,1,0,2,0,2,0,1,0
"ENSMUSG00000086936",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000086937",1,0,0,0,0,0,0,0,0,0
"ENSMUSG00000086938",64,122,95.7333855495447,102.411754774181,159,141,124,108.512252407468,145,134
"ENSMUSG00000086939",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000086940",0.193048339231599,0,0,1.85557991532964,4.69633005438994,2.59171314154648,0.578136648335834,0,1.5932812560819,0
"ENSMUSG00000086941",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000086942",0,1,2,2,3,1,0,0,0,0
"ENSMUSG00000086943",0,7.00473483261154,4,14,11,6,11,9,9.00010764142059,4
"ENSMUSG00000086944",1.0292840611333,2,0,1,0,0,0,1,0,3
"ENSMUSG00000086945",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000086946",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000086947",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000086948",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000086949",10,8,5,7,8,2,4,2,6,8
"ENSMUSG00000086951",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000086952",9,0,18,2,4,5,0,0,0,0
"ENSMUSG00000086953",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000086954",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000086955",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000086957",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000086959",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000086960",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000086961",1,2,0,1.00172226316702,1.15627789429431,2,0,1,1,0
"ENSMUSG00000086962",0,1,0,0,1.0001664348276,0,0,0,1,1
"ENSMUSG00000086963",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000086964",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000086965",18,47,25,25,22,23,39,43,41,53
"ENSMUSG00000086968",56.0342537537865,101.942692533741,138.075721594967,133.92558425641,179.01106506287,113.310209161491,112.088590602103,119.744626851316,109.030882938069,88.0144080014994
"ENSMUSG00000086969",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000086970",1,0,0,3,4,0,0,2,0,0
"ENSMUSG00000086971",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000086974",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000086975",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000086976",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000086978",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000086980",0,4,0,5,11,1,12,1,3,5
"ENSMUSG00000086981",0,0,0,0,2,0,0,0,0,0
"ENSMUSG00000086984",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000086986",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000086987",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000086989",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000086991",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000086992",1,4,0,0,1,1,0,5,3,0
"ENSMUSG00000086993",1,1,2,1,0,2,0,5,4,1
"ENSMUSG00000086994",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000086995",1,1.00060065625552,1,2,7,0,9,6.00518221139437,8.37332232468655,4
"ENSMUSG00000086996",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000086997",0,0,0,0,0,0,0,0,2,5
"ENSMUSG00000086998",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000086999",0,0,1,0,0,0,0,0,0,0
"ENSMUSG00000087001",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000087002",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000087003",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000087004",0,1,0,1,2,3,0,1,0,0
"ENSMUSG00000087006",29,33,8,30,34,24,33,19,11,49
"ENSMUSG00000087007",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000087008",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000087009",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000087010",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000087011",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000087013",0,1,0,0,1,0,1,0,0,0
"ENSMUSG00000087014",6,6,6,9,9,5,11,9,13,8
"ENSMUSG00000087015",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000087016",0,0,0,0,0,0,2,4,1,1
"ENSMUSG00000087017",8,2,4,3,2,5,1,0,0,2
"ENSMUSG00000087018",0,0,0,0,4,0,3,0,2,1
"ENSMUSG00000087020",2,16,2,3,10,9,15,9,21,8
"ENSMUSG00000087021",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000087022",0,0,0,0,1,0,0,0,1,0
"ENSMUSG00000087024",0,3,1,0,4,0,1,1,0,3
"ENSMUSG00000087026",6,4,16,4,9,6,5,1,6,5
"ENSMUSG00000087027",0,0,0,0,1,0,0,0,0,0
"ENSMUSG00000087028",1,4.00280374617894,3.37196107445975,1.14317856503735,3.01132022243943,0,3.6360194579981,3.00799803713274,3.77096127970575,2.00349767461119
"ENSMUSG00000087029",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000087030",1,0,2,1,1,0,0,0,0,1
"ENSMUSG00000087031",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000087032",0,0,5,2,3,2,3,0,4,1
"ENSMUSG00000087033",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000087034",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000087035",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000087036",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000087037",0,0,0,0,1,0,0,0,0,0
"ENSMUSG00000087038",0,0,0,0,0,0,1,0,0,0
"ENSMUSG00000087039",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000087040",11,8,7,7,14,7,18,15,8,17
"ENSMUSG00000087041",0,1,1,0,0,0,0,0,0,0
"ENSMUSG00000087042",1,7.41975150351976,0,3,0,2.88452481362439,1,2,0,0
"ENSMUSG00000087043",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000087044",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000087045",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000087047",9,21,16,17,20,15,26,25,18,23
"ENSMUSG00000087049",6,0,0,1,0,1,0,0,0,0
"ENSMUSG00000087050",1,13,4,12,11,4,14,9,8,5
"ENSMUSG00000087051",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000087052",1,0,0,0,1,0,2,0,0,1
"ENSMUSG00000087053",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000087054",1,10,1,0,5,3,6,5,4,5
"ENSMUSG00000087055",0,0,1,0,0,0,0,2,1,1
"ENSMUSG00000087056",0,8,0,2,4,6,6,9,4,2
"ENSMUSG00000087057",0,2,0,3,4,1,3,0,2,4
"ENSMUSG00000087058",0,0,0,1,0,0,0,0,1,0
"ENSMUSG00000087059",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000087060",19,13,87,16,15,29,14,15,14,6
"ENSMUSG00000087061",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000087063",0,0,0,0,1,0,2,0,2,1
"ENSMUSG00000087064",0,1,1,0,0,0,2,2,1,7
"ENSMUSG00000087066",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000087067",3,2,0,1,6,7,0,2,4,1
"ENSMUSG00000087069",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000087070",0,1,0,0,1,1,0,0,0,0
"ENSMUSG00000087071",0,1.00006481829927,0,0,0,0,0,0,0,0
"ENSMUSG00000087072",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000087074",0,0,0,0,0,0,0,0,1,0
"ENSMUSG00000087075",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000087076",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000087077",0,0,0.894885100057803,0,0,1,0,1,0,0
"ENSMUSG00000087079",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000087080",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000087082",0,4,3,6,4,1,12,2,5,2
"ENSMUSG00000087083",0,1,0,0,0,0,0,0,0,0
"ENSMUSG00000087084",1.00009261497776,4.06770189108477,0,1.02147564360791,1.00142639717398,0,0,1.00018727196921,2.10662552041261,2.02988007710933
"ENSMUSG00000087085",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000087086",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000087088",15.2844720239505,59.071907052663,19.0590724985604,28,57,29.0022799559448,38,28.0583440376516,31,27
"ENSMUSG00000087089",0,0,0,1,0,0,0,0,0,0
"ENSMUSG00000087090",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000087093",0,0,0,0,0,0,0,1,0,0
"ENSMUSG00000087094",1,3,1,2,10,3,4,2,8,2
"ENSMUSG00000087095",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000087097",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000087098",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000087099",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000087100",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000087102",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000087103",8,6,2,5,4,7,7,3,5,5
"ENSMUSG00000087104",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000087106",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000087107",423.619274576683,61.9463692031687,14.435910033382,106.982778388837,50.4156637167229,155.965207270079,35.9454657884943,28,39.6363292968215,75
"ENSMUSG00000087108",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000087109",0,0,0,0,0,0,0,0,0,2
"ENSMUSG00000087110",0,1,0,1,1,0,2,0,0,2
"ENSMUSG00000087111",4,0,4,5,0,0,0,1,0,1
"ENSMUSG00000087112",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000087113",1,1.05832306562887,0,0,0,0,0,2.19775804042562,2.83447191904347,0
"ENSMUSG00000087114",0,2,2,3,3,0,3,2,4,2
"ENSMUSG00000087115",0,0,2,0,0,0,0,0,0,0
"ENSMUSG00000087116",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000087117",0,0,0,2,0,0,0,0,0,0
"ENSMUSG00000087119",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000087120",0,8,3,3,6,3,6,4,3,3
"ENSMUSG00000087121",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000087122",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000087123",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000087124",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000087125",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000087127",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000087128",7,6,4,5,12,5,8,12,6,4
"ENSMUSG00000087129",0,0,0,0,1,0,0,0,0,0
"ENSMUSG00000087131",0,0,0,0,0,0,0,0,2,0
"ENSMUSG00000087132",2,2,12,4,1,5,1,4,1,1
"ENSMUSG00000087133",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000087135",0,0,2,0,0,0,1,0,0,0
"ENSMUSG00000087136",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000087137",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000087138",18,64,61,44,92,71,83,58,64,69
"ENSMUSG00000087139",0,2,0,0,1,0,0,0,0,0
"ENSMUSG00000087140",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000087141",263,522,343,440,570,308,383,402,423,365
"ENSMUSG00000087142",34,6,72,11,14,12,2,1,1,1
"ENSMUSG00000087143",3,1,0,2,2,0,0,1,2,0
"ENSMUSG00000087144",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000087145",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000087147",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000087148",0,0,0,1.00014841964591,0,0,0,1.00020785303419,1.00046345296906,0
"ENSMUSG00000087149",0,1,0,1,0,0,0,0,1,0
"ENSMUSG00000087150",42,23,57,28,8,38,14,7,8,9
"ENSMUSG00000087151",0,9,7,6,5,3,4,6,3,8
"ENSMUSG00000087152",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000087153",9.27038611293618,11.6958449014497,13.5931057015519,25.1270479463481,19.4386405784241,10.81420543201,13.4998452260345,9.45650707748994,23.1165773456609,22.5253700827443
"ENSMUSG00000087155",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000087157",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000087158",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000087159",0,2,0,0,2,0,2,5,1,5
"ENSMUSG00000087160",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000087162",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000087163",0,3,2,4,2.07162083583751,7,3,1,1,1
"ENSMUSG00000087164",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000087165",82,28,116,37,52,54,37,21,20,15
"ENSMUSG00000087166",0,0,0,0,0,0,2,1,0,0
"ENSMUSG00000087167",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000087168",8.40264531534271,3.00008482098027,4.47881668705066,5.10259137643745,4.00011425006991,2.00008964242285,3.00014002985845,5.07468789689839,9.00034511220488,2.01486510888335
"ENSMUSG00000087170",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000087171",0,11,3,5,6,2,7,6,4,1
"ENSMUSG00000087172",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000087173",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000087174",71.0001929889568,134.306705190584,76.6245820077381,104,134.852003211706,106.689015767586,107,119.000237753455,98.0002256223843,128.137002905729
"ENSMUSG00000087175",0,2,10,4,1,3,0,0,1,0
"ENSMUSG00000087176",1,3,3,0,3,4,0,4,3,3
"ENSMUSG00000087177",16,37,11,40,54,32,34,28.0068542104023,46,35
"ENSMUSG00000087178",12,24,22.0826986272601,24,23.3494838340642,23.3942082580817,14,24,34.4345008284242,18.4217881273869
"ENSMUSG00000087179",10,1,3,4,1,4,0,5,3,4
"ENSMUSG00000087180",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000087181",0,1,0,0,0,0,0,0,0,0
"ENSMUSG00000087184",0,0,0,1,1,0,0,3,1,2
"ENSMUSG00000087185",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000087187",2,4,1,1,1,3,1,0,0,0
"ENSMUSG00000087190",2,0,2,2,0,0,0,0,0,0
"ENSMUSG00000087192",0,7,1,4,7,5,7,5,9,3
"ENSMUSG00000087193",0,0,0,0,0,5,1,0,1,1
"ENSMUSG00000087194",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000087195",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000087196",4,3,3,0,1,3,0,0,0,0
"ENSMUSG00000087197",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000087198",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000087199",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000087200",4.00038839281208,46.7745696488395,11.2805117109246,59.00323426259,63.0066053196198,56.0063193481122,43.0034376402584,43.0157684450561,26.0011255082377,26.0012418157473
"ENSMUSG00000087201",1,4,5,4,3,1,5,3,1.04067601554983,2
"ENSMUSG00000087202",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000087203",0,0,0,3.00036898153092,0,1,1,0,1,2
"ENSMUSG00000087204",1,2,0,1,0,0,0,0,0,1
"ENSMUSG00000087205",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000087206",0,6,0,3,6,4,0,3,3,3
"ENSMUSG00000087207",0,0,1,0,0,0,0,0,0,0
"ENSMUSG00000087208",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000087210",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000087211",0,8,3,13,13,13,13,17,11,7
"ENSMUSG00000087213",13,4,22,7.01805777985937,9,12,4,2.02834848998327,3,4
"ENSMUSG00000087214",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000087215",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000087216",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000087217",0,0,0,0,0,0,0,0,1,0
"ENSMUSG00000087219",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000087220",1,2,0,0,1,0,0,0,0,1
"ENSMUSG00000087221",6,32,19,30,54.0157389713404,22.0212833865162,39,37.0112199392435,39,14
"ENSMUSG00000087222",5,24,13,34,46,16,22,27,29,19
"ENSMUSG00000087223",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000087224",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000087225",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000087226",0,0,2,0,0,0,1,0,1,0
"ENSMUSG00000087228",0,0,0,0,0,0,2,0,0,0
"ENSMUSG00000087230",11,0,17,4,0,2,0,0,0,0
"ENSMUSG00000087231",13,6.02489311929115,25.5392092882693,23,21,12,8,11.5050261292612,4.26351524796818,6.03587712658374
"ENSMUSG00000087232",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000087233",1,1,2,0,0,0,0,2,0,0
"ENSMUSG00000087235",0.500024868173571,0,0,0,0,0,0,0,0,0
"ENSMUSG00000087236",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000087238",2,1,2,0,1,0,1,2,1,0
"ENSMUSG00000087239",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000087240",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000087241",0,0,5,1,0,0,0,0,1,0
"ENSMUSG00000087242",4,6,0,6,11,8,5,4,8,8
"ENSMUSG00000087244",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000087245",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000087246",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000087247",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000087248",1,0,14,1,0,8,2,0,1,0
"ENSMUSG00000087249",9,6,4,10,15,14,1,4,4,2
"ENSMUSG00000087250",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000087252",1,5,0,4,8,8,15,9,14,3
"ENSMUSG00000087253",0,0,0,0,1.00059686329431,0,0,0,0,0
"ENSMUSG00000087254",8,2,28.361745276133,1,5,1,2,0,2,1.00751350282092
"ENSMUSG00000087255",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000087256",0,0,0,1,0,1,0,0,0,0
"ENSMUSG00000087258",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000087259",69,64,47.4393276963773,54,88,75,88,50,73,98
"ENSMUSG00000087260",285,295,399,287,322,368,268,229,259,234
"ENSMUSG00000087261",0,2,0,0,0,1,2,1,0,3
"ENSMUSG00000087263",1,0,0,0,3,1,0,0,1,1
"ENSMUSG00000087264",0,0,0,0,0,3,0,0,0,0
"ENSMUSG00000087265",1,1,0,0,0,0,0,0,0,0
"ENSMUSG00000087266",1,0,0,3.00006503540372,7,3,1.0000638137778,1.00118131101982,1,0
"ENSMUSG00000087267",0,1.04376896648001,0,3.02998558654101,0,0,2.11617450653665,0,3.72021575568418,4.25048910272691
"ENSMUSG00000087268",0,3,1,4,4,7,7,5,2,1
"ENSMUSG00000087269",18,29,14,31,38,36,21,24,33,19
"ENSMUSG00000087270",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000087272",0,0,1,4,2,2,1,1,4,1
"ENSMUSG00000087273",9,0,13,1,2,3,0,0,0,0
"ENSMUSG00000087276",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000087277",0,0,1,0,0,0,0,0,0,2
"ENSMUSG00000087278",0,0,0,1,0,0,0,0,0,0
"ENSMUSG00000087279",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000087281",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000087283",1,0,3,3,0,3,0,0,0,0
"ENSMUSG00000087286",0,1.22647257727144,0,0,1.02536668041068,1.01209717410785,1.03311231060051,0,0,0
"ENSMUSG00000087288",0,0,0,2,1,1,0,1,0,2
"ENSMUSG00000087289",3,1,0,3,0,3,3,2,4,4
"ENSMUSG00000087290",0,0,0,0,0,0,0,0,1,0
"ENSMUSG00000087291",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000087292",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000087293",0,0,0,0,0,0,1,2,0,0
"ENSMUSG00000087294",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000087295",3,0,2,0,0,1,0,0,0,0
"ENSMUSG00000087296",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000087298",1.06621002843975,0,1.05026315957463,0,1.05954563452668,0,0,0,0,0
"ENSMUSG00000087299",0.724682722450256,0,0,1.00212563382082,1.09043567171773,0,1,1.09360610305393,1.00689701360042,1.00827962490804
"ENSMUSG00000087300",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000087301",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000087302",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000087303",0,0,0,0,1.03440004741342,2.00047597612932,3.08874808835869,0,0,0
"ENSMUSG00000087305",35,27,37,56,46,35,24,20,37,31
"ENSMUSG00000087306",0,4.00154945808747,1,4,3,0,4,1.00055688304002,3,0
"ENSMUSG00000087307",0,1,1,6,9,6,2,3,6,2
"ENSMUSG00000087308",0,0,0,0,0,0,0.662079248681143,1.21310959748002,0,1.83159852656417
"ENSMUSG00000087309",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000087312",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000087314",0,1,0,0,0,0,0,0,0,0
"ENSMUSG00000087316",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000087317",3,1,7,1,2,0,0,0,0,1
"ENSMUSG00000087318",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000087319",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000087321",0,0,0,0,0,0,0,0,1.00027602347369,0
"ENSMUSG00000087322",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000087323",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000087325",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000087326",0,1.00085569673819,3.75290088988158,2.00173519486607,0,2,0,0,0,0
"ENSMUSG00000087327",4,6,13,6,3,9,6,3,3,5
"ENSMUSG00000087328",0,0,0,0,0,0,0,0,0,2
"ENSMUSG00000087329",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000087330",0,0,0,1,0,1,0,1,0,0
"ENSMUSG00000087331",19,43,39,23,83,75,49,50,42,37
"ENSMUSG00000087332",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000087333",1,8,1,4,7,4,14,6,7,8
"ENSMUSG00000087334",0,0,0,0,0,0,2,0,2,1
"ENSMUSG00000087335",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000087336",2,14,7,18,18,38,36,18,19,11
"ENSMUSG00000087337",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000087338",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000087339",12,1,12,1,0,0,2,0,0,0
"ENSMUSG00000087340",3,7,0,3,5,6,0,2,0,5
"ENSMUSG00000087341",1,0,0,1,0,0,0,0,0,0
"ENSMUSG00000087342",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000087343",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000087344",0,6,4,2,1,4,2,1,1,1
"ENSMUSG00000087345",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000087347",0,0,0,2,3,3,4,2,3,1
"ENSMUSG00000087348",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000087350",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000087351",1,1,0,1,2,0,2,2,0,0
"ENSMUSG00000087352",38,2,73,11,9,12,0,4,2,0
"ENSMUSG00000087353",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000087354",0,1,1,1,1,1,0,0,3,1
"ENSMUSG00000087355",0,3,0,5,6,6,2,6,5,3
"ENSMUSG00000087356",0,0,1,0,0,0,0,1,1,1
"ENSMUSG00000087357",1,0,1,0,0,0,0,0,0,0
"ENSMUSG00000087358",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000087360",0,0,0,0,0,0,2,0,1,0
"ENSMUSG00000087361",1,0,3,3,1,0,3,1,5,3
"ENSMUSG00000087362",18,1,28,10,1,6,1,0,0,0
"ENSMUSG00000087363",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000087364",1,1,0,2,0,0,0,1,1,0
"ENSMUSG00000087365",1,0,0,0,1,1,1,1,0,0
"ENSMUSG00000087366",3,6,8,5,5,7,3,7,3,3
"ENSMUSG00000087367",1,4,7,2,3,1,0,1,3,2
"ENSMUSG00000087368",18,43,6.36456636376441,32,54.7413399049856,33,30.5417088415695,27,24.4841362973704,30
"ENSMUSG00000087369",0,0,0,0,0,0,0,1,1,0
"ENSMUSG00000087370",214,302.176363643697,242,226.170077493616,327.168671464498,196,250,237,252,241
"ENSMUSG00000087371",1.00263643549137,6.0161503883061,2.02063817246993,2.00097988800944,7.01980236470112,5.01644917649819,7.59430262810251,1.00205392457369,1.00359687886005,8.03606238266362
"ENSMUSG00000087373",0,0,0,0,1,0,0,0,0,0
"ENSMUSG00000087374",1,2.00181813085327,1.00608014817572,3.00000400604181,1.00142125567258,5,2,0,3.00256689639484,6.00680247466207
"ENSMUSG00000087376",0,0,0,0,0,0,1,0,0,0
"ENSMUSG00000087377",3,8,2,4,11,9,8,2,8,2
"ENSMUSG00000087378",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000087379",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000087380",14,41,13,26,44,35,61,46,42,43
"ENSMUSG00000087381",7,38,12,20,14,13,36,24,25,26
"ENSMUSG00000087382",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000087383",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000087384",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000087385",20,50,35,36,58,42,36,43,43,16
"ENSMUSG00000087386",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000087387",0,0,0,0,0,3,0,1,1,0
"ENSMUSG00000087388",1,2,0,1,0,1,2,1,0,0
"ENSMUSG00000087389",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000087390",2.5143536086903,16,4.14366190853472,14,16.6297247613793,10.2115633658912,12,13,16,14.0103740649468
"ENSMUSG00000087393",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000087394",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000087395",0,0,0,0,0,0,0,1,0,0
"ENSMUSG00000087396",36,42,63,39,32,29,26,29,36,40
"ENSMUSG00000087397",0,0,0,0,1,0,2,0,2,0
"ENSMUSG00000087398",1,0,2,0,0,0,0,1,0,2
"ENSMUSG00000087399",0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000087400",2,1,0,0,1,3,1,3,1,2
"ENSMUSG00000087401",0,0,0,0,0,0,0,0,0,0
